Amplitude_high,Freq_domain,Time_overlap,Stage,Centertime
False,1,False,W,128374865.014375
False,1,False,W,128375798.11984375
False,1,False,W,128377097.43625
False,1,False,W,128379700.46459375
False,1,False,W,128383086.20778126
False,1,False,W,128384121.36403126
False,1,False,W,128390567.65509374
False,1,False,W,128391605.25375
False,1,False,W,128397057.89146875
False,1,False,W,128399216.583875
False,1,False,W,128401811.3114375
False,1,False,W,128413401.1581875
False,1,False,W,128419511.51175
False,1,False,W,128426108.68171875
False,1,False,W,128430009.561625
False,1,False,W,128432379.6798125
False,1,False,W,128434244.42690624
False,1,False,W,128436821.0880625
False,1,False,W,128439701.9474375
False,1,False,W,128440974.89765625
False,1,False,W,128452640.91628125
False,1,False,W,128454833.30009376
False,1,False,W,128455546.679
False,1,False,W,128457757.12921876
False,1,False,W,128464419.24059375
False,1,False,W,128467641.89784375
False,1,False,W,128470223.93009375
False,1,False,W,128473121.8803125
False,1,False,W,128475741.0209375
False,1,False,W,128476985.65084375
False,1,False,W,128480735.1635625
False,1,False,W,128492526.67146875
False,1,False,W,128498936.82971875
False,1,False,W,128499735.65784375
False,1,False,W,128502183.41175
False,1,False,W,128507120.42546874
False,1,False,W,128508232.73015624
False,2,False,W,128509504.21553124
False,1,False,W,128509778.1413125
False,1,False,W,128515092.10715625
False,1,False,W,128516334.29565625
False,1,False,W,128518399.72534375
False,1,False,W,128529791.8191875
False,1,False,W,128535618.48134375
False,1,False,W,128536838.6961875
False,1,False,W,128558862.62896875
False,1,False,W,128563842.6104375
False,1,False,W,128565938.80284375
False,1,False,W,128567572.103625
False,1,False,W,128568435.87415625
False,1,False,W,128574858.72771876
False,1,False,W,128577306.96990626
False,1,False,W,128580537.43965624
False,1,False,W,128581634.12034374
False,1,False,W,128584197.59790625
False,1,False,W,128588555.02078125
False,1,False,W,128592183.92803125
False,1,False,W,128595589.20246875
False,1,False,W,128606221.5296875
False,1,False,W,128624052.590375
False,1,False,W,128639422.7115625
False,1,False,W,128639986.67740625
False,1,False,W,128640499.37271875
False,1,False,W,128652134.629625
False,1,False,W,128655333.36109374
False,1,False,W,128667765.00571875
False,1,False,W,128673127.31240626
False,1,False,W,128675639.5194375
False,1,False,W,128677157.0985625
False,1,False,W,128681058.95503125
False,1,False,W,128687663.44921875
False,1,False,W,128699352.90634374
False,1,False,W,128704354.86046875
False,1,False,W,128707588.25990625
False,1,False,W,128719025.76390626
False,1,False,W,128722599.495375
False,1,False,W,128730984.75128125
False,1,False,W,128736622.936875
False,1,False,W,128738088.26890625
False,1,False,W,128754211.32078125
False,1,False,W,128756117.0835
False,1,False,W,128756881.24365625
False,1,False,W,128763891.4995625
False,1,False,W,128768512.10703126
False,1,False,W,128772295.31115624
False,1,False,W,128777080.46840625
False,1,False,W,128784552.15109375
False,1,False,W,128792852.4460625
False,1,False,W,128793927.15309376
False,1,False,W,128794570.70878126
False,1,False,W,128801247.956875
False,1,False,W,128802043.8553125
False,1,False,W,128803961.33678125
False,1,False,W,128808079.0135625
False,1,False,W,128819486.73140626
False,1,False,W,128821635.16990624
False,1,False,W,128826126.38184375
False,1,False,W,128830924.23540625
False,1,False,W,128835871.01375
False,1,False,W,128837532.1475625
False,1,False,W,128843445.72378124
False,1,False,W,128847010.17790624
False,1,False,W,128877401.3001875
False,1,False,W,128879340.26503125
False,1,False,W,128890493.1010625
False,1,False,W,128894205.016125
False,1,False,W,128903148.86678125
False,1,False,W,128904269.47225
False,1,False,W,128921210.39521874
False,1,False,W,128923069.77121875
False,1,False,W,128942363.23425
False,1,False,W,128945761.18446875
False,1,False,W,128962347.12696876
False,1,False,W,128978098.10853125
False,1,False,W,128983764.6134375
False,1,False,W,128984945.2785
False,1,False,W,128990067.83809374
False,1,False,W,128999373.50515625
False,1,False,W,129007491.67221875
False,1,False,W,129008005.832375
False,1,False,W,129009720.676125
False,1,False,W,129016108.86171874
False,1,False,W,129017476.05021875
False,2,False,W,129017574.19475
False,1,False,W,129019243.62834375
False,1,False,W,129023278.78559375
False,1,False,W,129024686.01315625
False,1,False,W,129032214.33546875
False,1,False,W,129033850.07865626
False,1,False,W,129034986.309125
False,1,False,W,129036379.37553126
False,1,False,W,129038565.89996874
False,1,False,W,129043219.22128125
False,1,False,W,129067188.4675625
False,1,False,W,129075032.2195625
False,1,False,W,129076811.02915625
False,1,False,W,129078161.1268125
False,1,False,W,129079940.4246875
False,1,False,W,129088074.21575
False,1,False,W,129089043.9423125
False,1,False,W,129092345.701125
False,1,False,W,129093928.7099375
False,1,False,W,129096108.88671875
False,1,False,W,129099803.22365625
False,1,False,W,129100562.01271875
False,1,False,W,129104908.69340625
False,1,False,W,129105625.49128126
False,1,False,W,129113904.79015625
False,1,False,W,129114419.43859375
False,1,False,W,129115849.12709375
False,1,False,W,129120688.97184375
False,1,False,W,129121304.20621875
False,1,False,W,129124713.8751875
False,1,False,W,129134750.9875625
False,1,False,W,129136312.512
False,1,False,W,129139395.5208125
False,1,False,W,129140711.43878125
False,1,False,W,129145370.62046875
False,1,False,W,129154071.3060625
False,1,False,W,129165749.53271875
False,1,False,W,129168960.47121875
False,1,False,W,129171045.43215625
False,1,False,W,129171989.76909375
False,1,False,W,129174182.6401875
False,1,False,W,129186413.1129375
False,1,False,W,129204467.31815626
False,1,False,W,129217972.69325
False,1,False,W,129219640.662
False,1,False,W,129224594.27728125
False,1,False,W,129231765.666
False,1,False,W,129233858.4404375
False,1,False,W,129247595.749125
False,1,False,W,129252620.65246876
False,1,False,W,129253988.32925
False,1,False,W,129256827.68571874
False,1,False,W,129261807.17890625
False,1,False,W,129268992.2395
False,1,False,W,129273126.51884376
False,1,False,W,129274568.413375
False,1,False,W,129283165.0960625
False,1,False,W,129292098.6918125
False,1,False,W,129308478.09134375
False,1,False,W,129313414.61678125
False,1,False,W,129334558.66575
False,1,False,W,129351870.68346874
False,1,False,W,129374138.26759376
False,1,False,W,129375132.40921874
False,1,False,W,129378725.6719375
False,1,False,W,129409902.92703125
False,1,False,W,129416473.7298125
False,1,False,W,129422095.802125
False,1,False,W,129425808.69375
False,1,False,W,129443421.98
False,1,False,W,129455749.62071875
False,1,False,W,129495592.8944375
False,1,False,W,129526407.3575625
False,1,False,W,129674663.2619375
False,1,False,W,129681371.76003125
