figure,panel,region,stage,neuron_class,comparison,test,alternative,n1,n2,statistic,p,stars,drawn
fig_06,b,Hipp.,Awake,,"firing rate, no_resp vs inv",mannwhitneyu,two-sided,399,14,2016.0,0.07692540926276309,,False
fig_06,b,Hipp.,SWS,,"firing rate, no_resp vs inv",mannwhitneyu,two-sided,398,14,2447.0,0.43953373342610236,,False
fig_06,b,Hipp.,Awake,no_resp,against 0,wilcoxon,two-sided,399,,18739.0,4.3030568725087726e-20,***,True
fig_06,b,Hipp.,Awake,inv,against 0,wilcoxon,two-sided,14,,0.0,0.0001220703125,***,True
fig_06,b,Hipp.,Awake,,no_resp vs inv,mannwhitneyu,two-sided,399,14,650.0,1.0583831986656632e-06,***,True
fig_06,b,Hipp.,SWS,no_resp,against 0,wilcoxon,two-sided,398,,19702.0,3.077839007413489e-18,***,True
fig_06,b,Hipp.,SWS,inv,against 0,wilcoxon,two-sided,14,,2.0,0.0003662109375,***,True
fig_06,b,Hipp.,SWS,,no_resp vs inv,mannwhitneyu,two-sided,398,14,1367.0,0.0011986041271027903,**,True
fig_06,c,Hipp. ripples,Awake,,"firing rate, no_resp vs inv",mannwhitneyu,two-sided,138,12,761.0,0.6450325672229282,,False
fig_06,c,Hipp. ripples,SWS,,"firing rate, no_resp vs inv",mannwhitneyu,two-sided,126,13,920.0,0.46722461508025104,,False
fig_06,c,Hipp. ripples,Awake,no_resp,against 0,wilcoxon,two-sided,138,,4330.0,0.3225047193626367,n.s.,True
fig_06,c,Hipp. ripples,Awake,inv,against 0,wilcoxon,two-sided,12,,15.0,0.06396484375,n.s.,True
fig_06,c,Hipp. ripples,Awake,,no_resp vs inv,mannwhitneyu,two-sided,138,12,567.0,0.07113810641362575,n.s.,True
fig_06,c,Hipp. ripples,SWS,no_resp,against 0,wilcoxon,two-sided,126,,2718.0,0.00179264499136997,**,True
fig_06,c,Hipp. ripples,SWS,inv,against 0,wilcoxon,two-sided,13,,3.0,0.001220703125,**,True
fig_06,c,Hipp. ripples,SWS,,no_resp vs inv,mannwhitneyu,two-sided,126,13,343.0,0.0005823659464514409,***,True
