Stage 1,Stage 2,N1,N2,U,p (Mann Whitney),Region
Awake,REM,119,117,5181.0,0.0006876478555863894,Amyg.
REM,SWS,117,110,3219.5,7.950276247717257e-11,Amyg.
Awake,SWS,119,110,1989.0,9.476275760967557e-20,Amyg.
Awake,REM,233,233,22112.0,0.0005363386756294594,Parahipp.
REM,SWS,233,219,18846.0,1.5579364132468345e-06,Parahipp.
Awake,SWS,233,219,14838.5,1.4586320946302905e-14,Parahipp.
Awake,REM,132,121,6375.0,0.00560835709436152,Hipp.
REM,SWS,121,126,5907.0,0.0022418390298336315,Hipp.
Awake,SWS,132,126,4456.5,1.1880336512080046e-10,Hipp.
Awake,SWS,130,80,5017.0,0.669545029935193,Hipp. ripples
