figure,panel,region,neuron_class,comparison,test,alternative,n1,n2,statistic,p,stars,drawn
fig_S_06,,Amyg.,inv,SWS vs Awake,binomtest,two-sided,13,19,,0.37708558747544885,n.s.,True
fig_S_06,,Amyg.,inv,SWS vs Awake,wilcoxon,two-sided,40,,258.0,0.04080139504367253,*,True
fig_S_06,,Amyg.,inv,REM vs Awake,binomtest,two-sided,8,23,,0.010673840530216694,*,True
fig_S_06,,Amyg.,inv,REM vs Awake,wilcoxon,two-sided,40,,216.0,0.008263762760179816,**,True
fig_S_06,,Amyg.,inv,SWS/Awake vs REM/Awake,fisher_exact,two-sided,32,31,1.9671052631578947,0.28690875044343805,n.s.,True
fig_S_06,,Parahipp.,inv,SWS vs Awake,binomtest,two-sided,4,8,,0.3876953125,n.s.,True
fig_S_06,,Parahipp.,inv,SWS vs Awake,wilcoxon,two-sided,15,,24.0,0.041259765625,*,True
fig_S_06,,Parahipp.,inv,REM vs Awake,binomtest,two-sided,2,6,,0.2890625,n.s.,True
fig_S_06,,Parahipp.,inv,REM vs Awake,wilcoxon,two-sided,15,,36.0,0.1876220703125,n.s.,True
fig_S_06,,Parahipp.,inv,SWS/Awake vs REM/Awake,fisher_exact,two-sided,12,8,1.5,1.0,n.s.,True
fig_S_06,,Hipp.,inv,SWS vs Awake,binomtest,two-sided,9,13,,0.5234670639038086,n.s.,True
fig_S_06,,Hipp.,inv,SWS vs Awake,wilcoxon,two-sided,29,,157.0,0.19762490689754486,n.s.,True
fig_S_06,,Hipp.,inv,REM vs Awake,binomtest,two-sided,3,21,,0.0002771615982055664,***,True
fig_S_06,,Hipp.,inv,REM vs Awake,wilcoxon,two-sided,29,,57.0,0.00024197623133659363,***,True
fig_S_06,,Hipp.,inv,SWS/Awake vs REM/Awake,fisher_exact,two-sided,22,24,4.846153846153846,0.04403679389499015,*,True
fig_S_06,,Amyg.,resp,SWS vs Awake,binomtest,two-sided,26,46,,0.02446090732832437,*,True
fig_S_06,,Amyg.,resp,SWS vs Awake,wilcoxon,two-sided,91,,1272.0,0.0011563216147097693,**,True
fig_S_06,,Amyg.,resp,REM vs Awake,binomtest,two-sided,17,46,,0.00033670934946623826,***,True
fig_S_06,,Amyg.,resp,REM vs Awake,wilcoxon,two-sided,91,,1214.0,0.0005032899034852849,***,True
fig_S_06,,Amyg.,resp,SWS/Awake vs REM/Awake,fisher_exact,two-sided,72,63,1.5294117647058822,0.27287642044529403,n.s.,True
fig_S_06,,Parahipp.,resp,SWS vs Awake,binomtest,two-sided,37,63,,0.012032975725363479,*,True
fig_S_06,,Parahipp.,resp,SWS vs Awake,wilcoxon,two-sided,123,,2246.0,7.648727822355613e-05,***,True
fig_S_06,,Parahipp.,resp,REM vs Awake,binomtest,two-sided,42,45,,0.830373009685754,n.s.,True
fig_S_06,,Parahipp.,resp,REM vs Awake,wilcoxon,two-sided,123,,3399.0,0.2960476618684519,n.s.,True
fig_S_06,,Parahipp.,resp,SWS/Awake vs REM/Awake,fisher_exact,two-sided,100,87,0.6292517006802721,0.13867431610702677,n.s.,True
fig_S_06,,Hipp.,resp,SWS vs Awake,binomtest,two-sided,36,41,,0.6487911623106449,n.s.,True
fig_S_06,,Hipp.,resp,SWS vs Awake,wilcoxon,two-sided,94,,1983.0,0.3467826774148235,n.s.,True
fig_S_06,,Hipp.,resp,REM vs Awake,binomtest,two-sided,23,53,,0.0007645817391550476,***,True
fig_S_06,,Hipp.,resp,REM vs Awake,wilcoxon,two-sided,94,,1496.0,0.005481369800207145,**,True
fig_S_06,,Hipp.,resp,SWS/Awake vs REM/Awake,fisher_exact,two-sided,77,76,2.0233297985153764,0.04626180952300292,*,True
fig_S_06,,Amyg.,no_resp,SWS vs Awake,binomtest,two-sided,96,161,,6.0208087972867486e-05,***,True
fig_S_06,,Amyg.,no_resp,SWS vs Awake,wilcoxon,two-sided,364,,26405.0,0.0006990825479045778,***,True
fig_S_06,,Amyg.,no_resp,REM vs Awake,binomtest,two-sided,91,143,,0.0008192915951599144,***,True
fig_S_06,,Amyg.,no_resp,REM vs Awake,wilcoxon,two-sided,364,,26667.0,0.0011160164040349115,**,True
fig_S_06,,Amyg.,no_resp,SWS/Awake vs REM/Awake,fisher_exact,two-sided,257,234,0.9370008873114463,0.7802486589738629,n.s.,True
fig_S_06,,Parahipp.,no_resp,SWS vs Awake,binomtest,two-sided,47,134,,7.008079216110911e-11,***,True
fig_S_06,,Parahipp.,no_resp,SWS vs Awake,wilcoxon,two-sided,249,,7600.0,2.5782189558166663e-12,***,True
fig_S_06,,Parahipp.,no_resp,REM vs Awake,binomtest,two-sided,82,92,,0.49516885828843843,n.s.,True
fig_S_06,,Parahipp.,no_resp,REM vs Awake,wilcoxon,two-sided,249,,14821.0,0.5145471766055336,n.s.,True
fig_S_06,,Parahipp.,no_resp,SWS/Awake vs REM/Awake,fisher_exact,two-sided,181,174,0.393520203858755,4.163924805290042e-05,***,True
fig_S_06,,Hipp.,no_resp,SWS vs Awake,binomtest,two-sided,161,159,,0.9554317296054109,n.s.,True
fig_S_06,,Hipp.,no_resp,SWS vs Awake,wilcoxon,two-sided,430,,46190.0,0.95592776394773,n.s.,True
fig_S_06,,Hipp.,no_resp,REM vs Awake,binomtest,two-sided,130,191,,0.0007854632317923553,***,True
fig_S_06,,Hipp.,no_resp,REM vs Awake,wilcoxon,two-sided,430,,40374.0,0.02084220886055266,*,True
fig_S_06,,Hipp.,no_resp,SWS/Awake vs REM/Awake,fisher_exact,two-sided,320,321,1.4877116594097726,0.013945899071087021,*,True
