figure,panel,region,stage,neuron_class,comparison,test,alternative,n1,n2,statistic,p,stars,drawn
fig_S_09,a,Amyg.,Awake,,"firing rate, no_resp vs resp",mannwhitneyu,two-sided,296,119,17544.0,0.9512922077977529,,False
fig_S_09,a,Amyg.,Awake,,"firing rate, no_resp vs inv",mannwhitneyu,two-sided,296,19,2662.0,0.6976628682824005,,False
fig_S_09,a,Amyg.,SWS,,"firing rate, no_resp vs resp",mannwhitneyu,two-sided,293,119,19047.0,0.1408974623368736,,False
fig_S_09,a,Amyg.,SWS,,"firing rate, no_resp vs inv",mannwhitneyu,two-sided,293,19,2671.0,0.7688207274833023,,False
fig_S_09,a,Amyg.,Awake,no_resp,against 0,wilcoxon,two-sided,296,,7813.0,7.181387145643763e-22,***,True
fig_S_09,a,Amyg.,Awake,resp,against 0,wilcoxon,two-sided,119,,10.0,3.711919858222159e-21,***,True
fig_S_09,a,Amyg.,Awake,inv,against 0,wilcoxon,two-sided,19,,3.0,1.9073486328125e-05,***,True
fig_S_09,a,Amyg.,Awake,,no_resp vs resp,mannwhitneyu,two-sided,296,119,6832.0,1.7575761300731611e-22,***,True
fig_S_09,a,Amyg.,Awake,,no_resp vs inv,mannwhitneyu,two-sided,296,19,1161.0,1.796078193852128e-05,***,True
fig_S_09,a,Amyg.,SWS,no_resp,against 0,wilcoxon,two-sided,293,,14.0,9.809904011846104e-50,***,True
fig_S_09,a,Amyg.,SWS,resp,against 0,wilcoxon,two-sided,119,,0.0,2.8809188185621934e-21,***,True
fig_S_09,a,Amyg.,SWS,inv,against 0,wilcoxon,two-sided,19,,0.0,3.814697265625e-06,***,True
fig_S_09,a,Amyg.,SWS,,no_resp vs resp,mannwhitneyu,two-sided,293,119,12540.0,7.944785438999585e-06,***,True
fig_S_09,a,Amyg.,SWS,,no_resp vs inv,mannwhitneyu,two-sided,293,19,2735.0,0.8997598157752149,n.s.,True
fig_S_09,b,Parahipp.,Awake,,"firing rate, no_resp vs resp",mannwhitneyu,two-sided,228,278,26277.0,0.0009373585268044019,,False
fig_S_09,b,Parahipp.,Awake,,"firing rate, no_resp vs inv",mannwhitneyu,two-sided,228,10,141.0,2.7903646458360325e-06,,False
fig_S_09,b,Parahipp.,SWS,,"firing rate, no_resp vs resp",mannwhitneyu,two-sided,226,266,23831.0,7.431980066434027e-05,,False
fig_S_09,b,Parahipp.,SWS,,"firing rate, no_resp vs inv",mannwhitneyu,two-sided,226,10,175.0,6.245060589581061e-06,,False
